range_start,range_end,journal,volume,issue,issue_heading,published_date,title,authors,score,priority,lab_relevance,themes,matched_groups,matched_terms,doi,url,abstract,review_o,review_x,training_label,reviewer_notes
2026-08-09,2026-08-23,Nature,,,Aug 2026,2026-08-19,Functional role of skull lymphoid structures in CNS immunosurveillance,"Jang Hyun Park, Daviti Abramishvili, ..., Jonathan Kipnis",8.0,Archive only,1,Inflammation / immune regulation,inflammation_immunity,inflammation_immunity: T cell,10.1038/s41586-026-10951-4,https://doi.org/10.1038/s41586-026-10951-4,"Abstract Accumulating evidence demonstrates that the central nervous system (CNS) is not disconnected from the peripheral immune system; however, precisely how the adaptive immune system surveils the CNS remains a critical question. Recent findings reveal that channels between the skull and the dura mater facilitate the exchange of cerebrospinal fluid and immune cells between the CNS and skull bone marrow of mice under both homeostatic and disease conditions 1–6 . Skull bone marrow functions as a source of immune cells for the CNS 5 , yet its role in CNS antigen-specific adaptive immune responses remains unclear. Here we identify lymphoid structures within the skull bone marrow, featuring germinal-centre-like formations and containing a distinct population of follicular-helper-like T cells that promote B cell activation and humoral immunity through CD40L, IL-21 and IFNγ signalling. Adaptive immune cells within these skull bone marrow lymphoid structures surveil and respond to CNS-derived antigens and contribute to anti-tumour immune responses in mouse brain cancer models. Together, our findings show that the skull bone marrow is a site of CNS immunosurveillance that may influence immune responses across diverse neurological diseases.",,,,
2026-08-09,2026-08-23,Nature Immunology,,,Aug 2026,2026-08-21,Collaborative functionality between three types of inflammation in idiopathic pulmonary fibrosis,"Thomas Fabre, Thomas A. Wynn, Kevin M. Hart",22.0,Must read,3,Liver metabolism / MASLD; Inflammation / immune regulation,liver_axis; inflammation_immunity,liver_axis: fibrosis | inflammation_immunity: inflammation,10.1038/s41590-026-02616-1,https://doi.org/10.1038/s41590-026-02616-1,,,,,
2026-08-09,2026-08-23,Nature Immunology,,,Aug 2026,2026-08-20,Progenitor T cells drive chronic pulmonary type 2 inflammation,"Radomir Kratchmarov, Xiaojiong Jia, ..., Patrick J. Brennan",20.0,Must read,3,Inflammation / immune regulation,inflammation_immunity,"inflammation_immunity: T cell, inflammation",10.1038/s41590-026-02619-y,https://doi.org/10.1038/s41590-026-02619-y,,,,,
2026-08-09,2026-08-23,Nature Immunology,,,Aug 2026,2026-08-20,Regulatory CD8+ T lymphocytes control intestinal inflammation,Holm H. Uhlig,12.0,Worth scanning,2,Inflammation / immune regulation,inflammation_immunity,inflammation_immunity: inflammation,10.1038/s41590-026-02627-y,https://doi.org/10.1038/s41590-026-02627-y,,,,,
2026-08-09,2026-08-23,Nature Immunology,,,Aug 2026,2026-08-18,Hallmarks of the multidimensional immune response to trauma in humans,"Markus Huber-Lang, Tianmeng Chen, Rebecca Halbgebauer, Timothy Billiar",12.0,Worth scanning,2,Inflammation / immune regulation,inflammation_immunity,inflammation_immunity: immune response,10.1038/s41590-026-02618-z,https://doi.org/10.1038/s41590-026-02618-z,,,,,
2026-08-09,2026-08-23,Nature Immunology,,,Aug 2026,2026-08-18,Neutrophil-integrated syncytial CAR macrophage for cancer immunotherapy,"Tianyi Tian, Siyu Zhao, ..., Zhiping Zhang",9.0,Archive only,1,Inflammation / immune regulation,inflammation_immunity,inflammation_immunity: macrophage,10.1038/s41590-026-02615-2,https://doi.org/10.1038/s41590-026-02615-2,,,,,
2026-08-09,2026-08-23,Nature Communications,17,1,"Volume 17, Issue 1, Aug 2026",2026-08-22,Haemodynamic control of zonated liver function via instructive vascular Wnt signalling,"Ki Hong Lee, Moritz Jakab, ..., Hellmut G. Augustin",30.0,Must read,3,Liver metabolism / MASLD; Single-cell / spatial / atlas,liver_axis; omics_and_atlas,"liver_axis: liver | omics_and_atlas: single cell RNA sequencing, single-cell RNA sequencing",10.1038/s41467-026-76966-7,https://doi.org/10.1038/s41467-026-76966-7,"Abstract The vascular endothelium forms a systemically disseminated organ that translates micromilieu factors into instructive cues, designated as angiocrine signalling. While vascular control of organ function mechanisms have been discovered in essentially all major organs, the mechanisms of translating milieu factors into angiocrine signalling mechanisms remain largely elusive. Here, focussing on the well-established angiocrine Wnt signalling-regulated liver metabolic zonation paradigm, we identified blood flow-induced haemodynamic stress as a biophysical sensor that governs the angiocrine expression profile of liver sinusoidal endothelial cells (LSEC). Combining single-cell RNA sequencing with spatial proteomics, we generated a high-resolution crosstalk map of LSEC and hepatocytes from LSEC Wnt-deficient mutant mice and littermate controls. Intriguingly, vascular Wnt receptors, in parallel with angiocrine Wnt ligands, were specifically enriched in pericentral LSEC, enforcing the spatially coordinated vascular Wnt functions. Consequently, vascular Wnt further modulated angiocrine gene signatures, LSEC morphology, and the expression of gap junctional molecules in an autocrine manner. Taken together, the data define LSEC as a dynamic cellular decoder that translates biophysical forces into instructive angiocrine signals via activating promiscuous vascular Wnt factors.",,,,
2026-08-09,2026-08-23,Nature Communications,,,Aug 2026,2026-08-22,XPO1-mediated TRIM21 nuclear export reprograms TREM2+ macrophage polarization by targeting IRF3 to augment anti-PD-1 efficacy in small cell lung cancer,"Qingwu Du, Tingting Qin, ..., Dingzhi Huang",17.0,Worth scanning,2,Inflammation / immune regulation,inflammation_immunity,inflammation_immunity: macrophage,10.1038/s41467-026-76862-0,https://doi.org/10.1038/s41467-026-76862-0,"Abstract Small cell lung cancer (SCLC) is an aggressive malignancy that responds poorly to immune checkpoint inhibitor (ICI) therapy, due to its immunosuppressive tumor microenvironment. Here, we analyse preclinical mouse tumor models and patient-derived SCLC samples and identify Exportin 1 (XPO1) as a regulator of immune suppression in SCLC. Mechanistically, XPO1 drives the nuclear export of TRIM21, enabling TRIM21-dependent proteasomal degradation of IRF3 and repressing the immunostimulatory cytokine TNFSF15. Loss of TNFSF15 promotes TREM2 + macrophage polarization, which subsequently attenuates macrophage-dependent IFN-γ-STAT1 signaling and MHC class I expression in tumor cells. Pharmacological or genetic XPO1 blockade restores TNFSF15, constrains TREM2 + macrophage differentiation, reactivates antigen presentation, and enhances anti-PD-1 efficacy in preclinical mouse models. Thus, our findings link XPO1-dependent nuclear export to TREM2+ macrophage polarization and support evaluation of XPO1 inhibition in combination with ICIs in SCLC.",,,,
2026-08-09,2026-08-23,Nature Communications,,,Aug 2026,2026-08-22,Longitudinal digital phenotyping of activity rhythms and biological aging using commercial wearables,"Jinjoo Shim, Jukka-Pekka Onnela",16.0,Worth scanning,2,Aging / senescence,aging_senescence,aging_senescence: aging,10.1038/s41467-026-76147-6,https://doi.org/10.1038/s41467-026-76147-6,"Abstract Disrupted rest-activity rhythms have been associated with aging and chronic disease, yet longitudinal evidence from free-living populations has been lacking. Here we integrate multi-year Fitbit activity data from the All of Us Research Program with clinical biomarker-derived PhenoAge from 2,222 participants (8,447 person-years). Through high-dimensional digital phenotyping, we show that circadian rest-activity rhythm intensity, timing, and stability are associated with biological aging trajectories. Higher rhythm intensity was associated with 26–46% lower odds of accelerated aging. Associations of timing and regularity were stronger in females. In males, accelerated aging followed a biphasic instability pattern with early-morning surges and late-evening rebounds. These findings provide large-scale longitudinal evidence that consumer wearable-derived rest-activity rhythms may serve as digital biomarkers of aging trajectories. By linking population-scale digital phenotyping to biological aging, this work highlights the potential of scalable digital measures for aging-related risk assessment and future healthy-aging research.",,,,
2026-08-09,2026-08-23,Nature Communications,,,Aug 2026,2026-08-22,Glucagon-like Peptide-1 Receptor Agonists and Risk of Tuberculosis in Type 2 Diabetes,"Kuang-Ming Liao, Jheng-Yan Wu, Chih-Cheng Lai",14.0,Worth scanning,2,Liver metabolism / MASLD,core_disease_context,core_disease_context: diabetes,10.1038/s41467-026-77068-0,https://doi.org/10.1038/s41467-026-77068-0,,,,,
2026-08-09,2026-08-23,Nature Communications,,,Aug 2026,2026-08-22,Tirzepatide versus GLP-1 receptor agonists and stroke in patients with atrial fibrillation and type 2 diabetes,"Chih-Lang Lin, Kuan-Chou Lin, ..., Szu-Yuan Wu",14.0,Worth scanning,2,Liver metabolism / MASLD,core_disease_context,core_disease_context: diabetes,10.1038/s41467-026-77047-5,https://doi.org/10.1038/s41467-026-77047-5,,,,,
2026-08-09,2026-08-23,Nature Communications,,,Aug 2026,2026-08-22,Alcohol reshapes liver zonal plasticity and immune-metabolic reprogramming in metabolic-syndrome associated hepatocellular carcinoma,"Tian Tian, Yuhua Xue, ..., Liya Pi",14.0,Worth scanning,2,Liver metabolism / MASLD,liver_axis,liver_axis: liver,10.1038/s41467-026-77089-9,https://doi.org/10.1038/s41467-026-77089-9,,,,,
2026-08-09,2026-08-23,Nature Communications,,,Aug 2026,2026-08-22,CX3CR1⁺ CD8⁺ cytotoxic T cells drive tumor killing in esophageal squamous cell carcinoma during neoadjuvant therapy,"Yahui Zhao, Ruixiang Zhang, ..., Zhihua Liu",12.0,Worth scanning,2,Inflammation / immune regulation,inflammation_immunity,inflammation_immunity: T cell,10.1038/s41467-026-76959-6,https://doi.org/10.1038/s41467-026-76959-6,,,,,
2026-08-09,2026-08-23,Nature Communications,,,Aug 2026,2026-08-22,Genetic architecture of cytokine autoantibodies and associated risk of common diseases,"Jakob Hjorth von Stemann, Joseph Dowsett, ..., Sisse Rye Ostrowski",9.0,Archive only,1,Liver metabolism / MASLD,core_disease_context,core_disease_context: diabetes,10.1038/s41467-026-76394-7,https://doi.org/10.1038/s41467-026-76394-7,"Abstract Anti-cytokine autoantibodies are increasingly recognized as modulators of immune function and determinants of disease risk, yet their genetic basis and population-level impact remain unclear. Here we perform genome-wide association studies of autoantibodies against IL-1α, IL-6, IL-10, IFN-α, IFN-β, IFN-γ and GM-CSF in 15,000 individuals from the Danish Blood Donor Study. We identify 52 genome-wide significant loci, implicating genes enriched in antigen-presentation pathways. Using these data, we derive cytokine-specific polygenic risk scores and evaluate their associations across 300,000 individuals in the Copenhagen Hospital Biobank. Genetic predisposition to IL-1α autoantibodies is associated with reduced risk of rheumatoid arthritis and certain cancers, whereas genetic predisposition to IL-6 autoantibodies is associated with increased risk of diabetes, mirroring prior clinical observations. These findings define the genetic architecture of anti-cytokine autoantibodies and indicate their divergent effects on human disease risk at population scale, providing a framework for mechanistic investigation and potential clinical stratification.",,,,
2026-08-09,2026-08-23,Nature Communications,,,Aug 2026,2026-08-22,Differential lipid selectivity of StARD phospholipid transporters revealed by native MS,"Carla Kirschbaum, Sophie A. S. Lawrence, ..., Carol V. Robinson",8.0,Archive only,1,Liver metabolism / MASLD; Adipose tissue / adipocyte biology,lipid_metabolism,lipid_metabolism: lipid metabolism,10.1038/s41467-026-76988-1,https://doi.org/10.1038/s41467-026-76988-1,"Abstract Intracellular lipid transport in eukaryotes is largely mediated by lipid transfer proteins (LTPs). Transport kinetics differ markedly among lipid species, implying selective lipid recognition by the involved proteins. Here, we characterize endogenous ligands of the human phospholipid transporters STARD2, STARD7, and STARD10 by multistage native mass spectrometry (MS). Our results demonstrate that they exhibit distinct lipid selectivities, with STARD7 binding a broad range of phospholipids, whereas STARD2 and STARD10 preferentially copurify with poly- and di-unsaturated phospholipids, respectively. We link this acyl chain selectivity to tissue-specific LTP expression patterns and show that LTP expression levels modulate lipid metabolism. Through site-directed mutagenesis and molecular dynamics simulations, we further identify a conserved arginine that is essential for phospholipid binding in STARD7 but dispensable in STARD2 and STARD10. To investigate regulation of LTP activity, we mapped phosphorylation sites by native top-down MS and found that STARD2 and STARD10 are phosphorylated in membrane-binding regions. Liposome-based assays revealed that phosphorylation abolishes lipid transfer activity of STARD10 and that lipid selectivity influences the transfer rates of different lipid probes. Together, our results demonstrate that LTPs exhibit distinct lipid binding preferences and suggest that cells finely tune lipid homeostasis by regulating LTP expression levels and activity.",,,,
2026-08-09,2026-08-23,Nature Communications,,,Aug 2026,2026-08-21,Molecular heterogeneity and clonal origin of CCR8+ effector regulatory T cells in human cancer,"Julian Swatler, Simone Puccio, ..., Enrico Lugli",46.0,Must read,3,Inflammation / immune regulation; Single-cell / spatial / atlas,inflammation_immunity; omics_and_atlas,"inflammation_immunity: T cell, Treg, regulatory T cell | omics_and_atlas: single cell RNA sequencing, single-cell RNA sequencing",10.1038/s41467-026-76670-6,https://doi.org/10.1038/s41467-026-76670-6,"Abstract CD4 + CD25 + FOXP3 + regulatory T cells (Treg) are highly activated in tumors and promote disease progression. Specific, universal targeting of these effector Treg cells is limited by the lack of a conserved signature across human cancers and information on their origin. Here we combine analysis of single-cell RNA-sequencing datasets with spectral flow cytometry and identify a core signature of 88 genes consistently upregulated in intratumoral Treg cells among 9 epithelial cancers. We describe 4 Treg cell subsets – CCR7 + quiescent, CCR8 + effector, CD161 + and intermediate, with distinct tissue distribution, function, differentiation trajectories and molecular drivers. By single-cell T cell receptor sequencing, we observe that protumoral, effector CCR8 + Treg cells exhibit little clonal relationship with other Treg cell subsets inside tumors, but are clonally related to Treg cells in tumor-draining lymph nodes, as well as conventional T cells in tumors. This resource provides insights for development and fine-tuning of CCR8 + Treg cell-targeting therapies in cancer.",,,,
2026-08-09,2026-08-23,Nature Communications,,,Aug 2026,2026-08-21,Identification of a spatially organized TREM2-associated permissive macrophage niche in human pulmonary tuberculosis alveolar pneumonia,"Rosane M. B. Teles, Chaouki Benabdessalem, ..., Robert L. Modlin",34.0,Must read,3,Liver metabolism / MASLD; Adipose tissue / adipocyte biology; Inflammation / immune regulation; Single-cell / spatial / atlas,lipid_metabolism; inflammation_immunity; omics_and_atlas,"lipid_metabolism: lipid metabolism | inflammation_immunity: T cell, macrophage | omics_and_atlas: single cell RNA sequencing, single-cell RNA sequencing, spatial transcriptomics",10.1038/s41467-026-76814-8,https://doi.org/10.1038/s41467-026-76814-8,"Abstract Pulmonary tuberculosis (TB), caused by lung infection with Mycobacterium tuberculosis ( Mtb ), often manifests both alveolar pneumonia and aggregation of immune cells containing Mtb , termed granulomas, within the same lung. Here, we integrate spatial transcriptomics, single-cell RNA sequencing, high-resolution imaging, and functional assays of lung biopsies from four men with pulmonary TB to compare alveolar pneumonia with adjacent granulomas. We find that alveolar TB pneumonia is enriched for TREM2⁺ lipid-laden macrophages characterized by increased lipid metabolism gene expression, reduced T cell infiltration, attenuated antimicrobial gene expression, and abundant Mtb transcripts and antigens. By contrast, neighboring granulomas exhibit organized lymphoid architecture and robust antimicrobial programs. In vitro, Mtb lipids induce TREM2 expression, activate TREM2–DAP12 signaling, and promote lipid droplet accumulation in primary human monocyte-derived macrophages (MDM). Furthermore, TREM2 + MDMs are more susceptible to in vitro Mtb infection. When treating MDMs with 1,25-dihydroxyvitamin D₃, which induces antimicrobial macrophage programs, TREM2 + MDM numbers, lipid droplet abundance and Mtb viability are decreased. Thus, we propose a spatially localized, alveolar pneumonia-intrinsic TREM2⁺ macrophage program that potentially contributes to Mtb persistence in pulmonary TB infection in humans.",,,,
2026-08-09,2026-08-23,Nature Communications,,,Aug 2026,2026-08-21,Deep learning for precision grading of Schistosoma japonicum-induced liver fibrosis in ultrasound images,"Ziyang Xu, Jianfeng Zhang, ..., Tieyong Zeng",24.0,Must read,3,Liver metabolism / MASLD,liver_axis,"liver_axis: fibrosis, liver",10.1038/s41467-026-76287-9,https://doi.org/10.1038/s41467-026-76287-9,,,,,
2026-08-09,2026-08-23,Nature Communications,,,Aug 2026,2026-08-21,Targeting ABL kinases overcomes melanoma immune evasion following resistance to MAPK inhibition,"Rakshamani Tripathi, Bhuvanesh Sukhlal Kalal, ..., Rina Plattner",18.0,Must read,3,Inflammation / immune regulation; Single-cell / spatial / atlas,inflammation_immunity; omics_and_atlas,"inflammation_immunity: T cell | omics_and_atlas: single cell RNA sequencing, single-cell RNA sequencing",10.1038/s41467-026-76864-y,https://doi.org/10.1038/s41467-026-76864-y,"Abstract MAPK inhibitors (MAPKi) are important treatment options for some patients with metastatic melanoma; however, resistance inevitably develops in the vast majority of cases (>70%). Here, using immune-proficient mouse models, single-cell RNA sequencing, flow cytometry, and datasets from patients treated with MAPKi, we demonstrate that ABL kinases (ABL1/2) promote MAPKi resistance not only by impacting intracellular signaling but also by driving secretion of chemokines that suppress the immune microenvironment. Targeting ABL1/2 reduces chemokine secretion by melanoma cells, prevents immunosuppressive myeloid-derived suppressor cell (MDSC) infiltration, and promotes accumulation of cytotoxic CD8 + T cells. Depletion of MDSCs prevents resistance, and depletion of CD8 + T cells or re-expression of chemokines blocks ABL inhibitors from preventing resistance. Importantly, CXCR2 receptor ligand expression and ABL1/2 activity are reduced in patients who respond to treatment but increased during resistance. Thus, the dual role of ABL1/2 in proliferation/survival and immune suppression makes them attractive targets for potential treatments.",,,,
2026-08-09,2026-08-23,Nature Communications,,,Aug 2026,2026-08-21,Six-compound cocktail for maturation of human pluripotent stem cell-derived liver spheroids for toxicity prediction,"Lipeng Tian, Faiza H. Anas, ..., Amir Bein",14.0,Worth scanning,2,Liver metabolism / MASLD,liver_axis,liver_axis: liver,10.1038/s41467-026-76936-z,https://doi.org/10.1038/s41467-026-76936-z,,,,,
2026-08-09,2026-08-23,Nature Communications,,,Aug 2026,2026-08-21,Fatty acid oxidation fuels mitochondrial respiration to drive epidermal stem cell fate and differentiation,"Kristina Todorova, Stefano Sol, ..., Anna Mandinova",12.0,Worth scanning,2,Liver metabolism / MASLD; Adipose tissue / adipocyte biology,lipid_metabolism,lipid_metabolism: fatty acid oxidation,10.1038/s41467-026-77023-z,https://doi.org/10.1038/s41467-026-77023-z,,,,,
2026-08-09,2026-08-23,Nature Communications,,,Aug 2026,2026-08-21,A cuproptosis-inducing covalent organic framework synergizes with oncolytic virus for tumor radiotherapy,"Yuan-Tong Liu, Ke-Shan Liu, ..., Wei He",12.0,Worth scanning,2,Inflammation / immune regulation,inflammation_immunity,inflammation_immunity: T cell,10.1038/s41467-026-76947-w,https://doi.org/10.1038/s41467-026-76947-w,"Abstract Acquired radioresistance limits effective radiotherapy. Cuproptosis is a copper-dependent form of cell death driven by mitochondrial copper accumulation and lipoylated protein aggregation. Building on evidence that radioresistant cancer cells exhibit increased cuproptosis susceptibility, here we combine a radiation-responsive, copper-incorporated covalent organic framework (COF‑Tpy‑Se‑Cu) with an oncolytic adenovirus to target this vulnerability. X-ray irradiation triggers copper release from COF‑Tpy‑Se‑Cu and induces FDX1-dependent cuproptosis, while the oncolytic adenovirus depletes intracellular glutathione and stabilizes FDX1 by limiting its mitochondrial protease-mediated degradation. The combination enhances tumor cell death and remodels the immunosuppressive tumor microenvironment into a T-cell-inflamed state. In models of radioresistant tumors in female mice, this regimen improves tumor control and elicits CD8 + T cell-dependent systemic antitumor immunity and durable immunological memory. These findings support the combined use of radiation-responsive copper delivery and oncolytic virotherapy as a strategy for exploiting cuproptosis susceptibility and improving radiotherapy responses.",,,,
2026-08-09,2026-08-23,Nature Communications,,,Aug 2026,2026-08-21,Sex-specific trajectories of nonlinear immune aging at single-cell level,"Harry Park, Nina Le Bert, ..., Jacques Behmoaras",10.0,Worth scanning,2,Aging / senescence,aging_senescence,aging_senescence: aging,10.1038/s41467-026-76737-4,https://doi.org/10.1038/s41467-026-76737-4,,,,,
2026-08-09,2026-08-23,Nature Communications,,,Aug 2026,2026-08-21,Bridge health monitoring using existing telecommunication fiber-optic networks,"Jingxiao Liu, Jatin Aggarwal, ..., Hae Young Noh",7.0,Archive only,1,Aging / senescence,aging_senescence,aging_senescence: aging,10.1038/s41467-026-76935-0,https://doi.org/10.1038/s41467-026-76935-0,"Abstract Aging bridges pose significant risks to public safety. Although existing sensing technologies offer a potential solution for structural health monitoring, the high cost and complexity of installing and maintaining sensing systems have limited their scalability and long-term deployment. Here, we present a scalable and cost-effective approach that turns pre-existing telecommunication (telecom) fiber-optic cables into a dense array of dynamic strain sensors to continuously monitor bridges. Using telecom fibers, we retrieve guided wavefields across bridge superstructures, which was impossible with existing sensing technologies due to their limited scalability and the prohibitive cost of ultra-dense sensor arrays required to capture meter-scale wavelengths. We also estimate quasi-static displacements with millimeter-level accuracy and extract modal parameters. These results demonstrate that our approach is robust to noise from imperfect fiber-bridge coupling, a limitation inherent to the non-dedicated nature of telecom fibers used as sensors. Furthermore, we demonstrated the effectiveness of this approach through field evaluations across six bridges in the United States and South Korea. Because telecom fibers are widely deployed and co-located with civil infrastructure systems, this study introduces a new sensing paradigm that leverages existing fiber-optic networks to enable large-scale, real-time structural monitoring without the cost and logistical burden of dedicated sensors.",,,,
2026-08-09,2026-08-23,Nature Communications,,,Aug 2026,2026-08-21,CD11b agonist GB1275 potentiates oncolytic bacterial therapy against pancreatic cancer in mouse tumor models,"Bin Zhang, Meng Guan, ..., Qiu-Ran Xu",5.0,Archive only,1,Inflammation / immune regulation,inflammation_immunity,inflammation_immunity: immune response,10.1038/s41467-026-76823-7,https://doi.org/10.1038/s41467-026-76823-7,"Abstract Oncolytic bacteria are microorganisms with cytotoxic activity capable of lysing cancer cells while simultaneously activating both innate and adaptive immune responses to exert anti-tumor effects. However, the innate immune activation targeting oncolytic bacteria within the tumor microenvironment (TME) is a limiting factor. Here we find that the CD11b-targeting agonist GB1275 can modulate bacteria-immune interaction and inhibit the infiltration of CD11b⁺ innate immune cells such as neutrophils and macrophages, thereby suppressing the antimicrobial immune defenses in the TME in mice. This then avoids the clearance of oncolytic bacteria and increases the efficacy of bacteria-mediated tumor immunotherapy. Furthermore, the gemcitabine-loaded bacteria combined with GB1275 treatment activate innate immune responses in tumor, as mediated by Toll-like receptors (TLR), NOD-like receptors (NLR) and cGAS-STING pathways, while simultaneously enhancing dendritic cell (DC)-dependent antigen cross-presentation; this then upregulates the adaptive anti-tumor immune response and inhibits the growth of both subcutaneous and in situ pancreatic cancers in mouse tumor models. Our results therefore demonstrate that modulating innate immune responses while subsequently strengthening adaptive immune activation can significantly improve the efficacy of bacteria-mediated tumor immunotherapy.",,,,
